N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
145,TIGER 200,"41,360",60,+0.15%,0,"22,603","54,650",0.00,"533,470",N/A,N/A,
146,TIGER 차이나전기차SOLACTIVE,"18,175",80,+0.44%,0,"22,086","121,520",2.31,"4,124,189",N/A,N/A,
147,LS,"68,000",600,-0.87%,"5,000","21,896","32,200",14.48,"93,351",8.82,3.94,
148,KODEX 단기채권,"102,895",5,0.00%,0,"21,073","20,480",0.00,"4,435",N/A,N/A,
149,대웅,"36,200",150,-0.41%,500,"21,047","58,142",3.92,"106,387",22.39,15.10,
150,LS ELECTRIC,"68,900",500,-0.72%,"5,000","20,670","30,000",17.75,"85,229",22.53,6.15,
151,KODEX 200선물인버스2X,"2,055",5,-0.24%,0,"20,299","987,800",5.57,"158,885,215",N/A,N/A,
152,프레스티지바이오파마,"33,600","1,250",+3.86%,0,"20,192","60,096",64.31,"1,139,189",-100.00,N/A,
153,영원무역,"45,500",450,-0.98%,500,"20,162","44,311",27.76,"205,467",10.76,8.03,
154,솔루스첨단소재,"65,700",300,+0.46%,100,"20,097","30,590",8.12,"455,128",-171.09,-5.10,
155,현대엘리베이,"48,900",100,+0.20%,"5,000","19,959","40,815",27.47,"125,076",20.71,9.78,
156,현대백화점,"82,500",600,-0.72%,"5,000","19,307","23,402",19.57,"109,922",14.91,1.65,
157,동국제강,"20,050",250,-1.23%,"5,000","19,134","95,433",23.43,"693,980",6.52,3.35,
158,한전기술,"49,500","1,950",+4.10%,200,"18,919","38,220",2.80,"476,146",91.50,N/A,
159,아시아나항공,"25,400",300,+1.20%,"5,000","18,901","74,412",9.19,"1,059,056",-27.61,-43.83,
160,HDC현대산업개발,"28,450",50,-0.18%,"5,000","18,751","65,907",10.90,"252,478",10.16,8.85,
161,오뚜기,"508,000","1,000",-0.20%,"5,000","18,654","3,672",12.60,"3,003",21.25,7.93,
162,대웅제약,"157,500",500,+0.32%,"2,500","18,249","11,587",6.91,"26,634",615.23,2.38,
163,농심,"294,000","2,500",+0.86%,"5,000","17,883","6,083",13.69,"12,359",16.14,7.50,
164,PI첨단소재,"60,800","1,400",+2.36%,500,"17,855","29,366",17.94,"192,816",32.71,15.62,
165,한전KPS,"38,950",800,+2.10%,200,"17,528","45,000",9.06,"208,921",17.94,8.23,
166,KODEX 레버리지,"25,975",90,+0.35%,0,"17,351","66,800",2.76,"11,541,145",N/A,N/A,
167,후성,"18,700",250,+1.36%,500,"17,317","92,607",6.77,"4,382,761",173.15,2.79,
168,동원시스템즈,"67,200","1,100",-1.61%,"5,000","17,216","25,619",1.41,"73,731",31.94,10.97,
169,KODEX 삼성그룹,"10,450",25,+0.24%,0,"17,096","163,600",0.20,"252,004",N/A,N/A,
170,진원생명과학,"37,750",100,-0.26%,"1,000","17,067","45,212",12.87,"1,137,921",-79.14,-30.43,
171,금호타이어,"5,930",0,0.00%,"5,000","17,035","287,260",4.16,"339,369",80.14,-6.74,
172,롯데렌탈,"46,250","1,100",+2.44%,"5,000","16,943","36,634",0.88,"243,449",23.61,6.73,
173,TIGER 단기통안채,"100,315",10,+0.01%,0,"16,829","16,776",0.70,482,N/A,N/A,
